dataset,fold_id,method,classifier_accuracy,autoencoder_loss,best_lr,proximity,validity,lof_score,relative_proximity,compactness,pred_margin_weight,step_weight_type,threshold_tau
DRS_TissueClassification,1,1dCNN autoencoder,0.9975,4.036912287119776e-05,0.001,1.1785330352990229,1.0,0.96,0.5278466389145877,0.6992880470280862,0.8,global,0.8
DRS_TissueClassification,1,No autoencoder,0.9975,0,0.001,1.1043603038180143,1.0,0.97,0.49462582470004957,0.8059177008491182,0.8,global,0.8
DRS_TissueClassification,2,1dCNN autoencoder,0.9975,7.542551611550152e-05,0.001,1.0610487599681535,1.0,0.97,0.46834275308106016,0.783990855649902,0.8,global,0.8
DRS_TissueClassification,2,No autoencoder,0.9975,0,0.001,0.912276680971323,1.0,0.99,0.4026753420366706,0.8087459177008491,0.8,global,0.8
DRS_TissueClassification,3,1dCNN autoencoder,0.9975,2.994311580550857e-05,0.001,1.2473685601144644,0.97,0.88,0.5724347778905103,0.7796930111038537,0.8,global,0.8
DRS_TissueClassification,3,No autoencoder,0.9975,0,0.001,0.9517252575770471,0.91,0.94,0.4367599552003397,0.8185107772697583,0.8,global,0.8
DRS_TissueClassification,4,1dCNN autoencoder,0.9924999999999999,2.511282218620181e-05,0.001,1.6884875028060267,1.0,0.98,0.6843950970440063,0.6749771391247551,0.8,global,0.8
DRS_TissueClassification,4,No autoencoder,0.9924999999999999,0,0.001,1.473314489732827,0.92,0.99,0.597178961349337,0.803847158719791,0.8,global,0.8
DRS_TissueClassification,5,1dCNN autoencoder,0.9924999999999999,6.726985157001764e-05,0.001,1.0548898484421418,1.0,0.96,0.47412596310444777,0.753768778576094,0.8,global,0.8
DRS_TissueClassification,5,No autoencoder,0.9924999999999999,0,0.001,0.891598527595854,1.0,0.97,0.4007337934128179,0.8043435662965382,0.8,global,0.8
